time,task_id,duration,cpu
2410889156014,4422663195-815,2410359425370,0.029053
1036946994497,8225507-50,2322828428137,nan
2431353478555,11688827562-974,2431344231299,0.070435
2485073830362,11688827562-975,2484905808567,0.070435
2609206854245,11688827562-976,2609157822885,0.070435
2229720263091,7513370941-3,2202596968951,0.004402
2469639090130,8227452-10,2469637640351,0.002201
850296328228,11688827562-978,850231715651,0.070435
2358039842052,8225507-53,2279563557806,0.001314
2508105779371,11688827562-980,2507655998460,0.070435
2387508177429,11688827562-981,2387499674229,0.070435
1818039885759,11688827562-983,1790220548468,0.070435
2497578990446,11688827562-984,2497578356484,0.070435
1009626314355,11688827562-987,1009330846910,0.070435
781239857247,8225507-52,2284896656898,0.001406
2153999115933,11688827562-989,2153674558812,0.070435
2503200133217,11688827562-991,2502870481429,0.070435
2332600291277,11688827562-992,2331990082954,0.070435
2248186350071,11688827562-994,2248134194481,0.070435
1943439301420,7513312285-7,1943435355317,0.008102
2467606355014,11688827750-115,2467554909026,0.070435
2467874612192,11688827750-112,2467469019424,0.070435
2144097240898,7513312285-8,2138787190754,0.008102
2467619538418,11688827750-111,2467262450825,0.070435
2467646365382,11688827750-110,2467520770271,0.070435
2467871689262,11688827750-150,2467447642146,0.070435
2467863628950,11688827750-108,2467242610414,0.070435
2467871895747,11688827750-105,2467450713296,0.070435
2467946798126,11688827750-104,2467528420002,0.070435
2025104375175,7513370941-0,2025103111315,0.004402
1975761878713,11688827562-997,765482246365,0.070435
1777216264984,11688827562-996,566946320488,0.070435
2423043791091,11688827562-995,1212329339436,0.070435
2467623308501,11688827750-107,2467294891822,0.070435
2563010548460,11688827562-973,2562864894440,0.070435
2467646365348,11688827750-158,2467323878933,0.070435
2499994477860,11688827750-159,2499742515140,0.070435
2271639921419,8225507-16,2215380871638,0.001406
1018839846235,8225507-13,930625004892,0.000000
2410583677561,4422663195-821,2409887176786,0.029053
2055639858044,8225507-11,2011365834719,0.049072
